week_start_dt,week_end_dt,vietnam_season,p_color,price,total_volume,brazil,india,vietnam,indonesia,china,brazil_season,indonesia_season,india_season,china_season,jordan_max_price,jordan_min_price,demand,supply
2015-08-17,2015-08-23,1,yellow,7.249725000000001,-1,-1,-1,-1,-1,-1,true,true,true,true,7.425,7.025,0.5,0.5
2015-08-17,2015-08-23,1,red,7.600215,-1,-1,-1,-1,-1,-1,true,true,true,true,8.125,7.825,0.5,0.5
2015-08-17,2015-08-23,1,green,7.0748050000000005,-1,-1,-1,-1,-1,-1,true,true,true,true,7.525,7.225,0.5,0.5
2015-08-24,2015-08-30,1,green,7.025085000000001,-1,-1,-1,-1,-1,-1,true,true,true,true,7.425,7.225,0.5,0.5
2015-08-24,2015-08-30,1,red,7.7222550000000005,-1,-1,-1,-1,-1,-1,true,true,true,true,8.125,7.825,0.5,0.5
2015-08-24,2015-08-30,1,yellow,7.1005650000000005,-1,-1,-1,-1,-1,-1,true,true,true,true,7.425,6.925,0.5,0.5
2015-08-31,2015-09-06,1,red,7.7222550000000005,-1,-1,-1,-1,-1,-1,false,false,true,true,8.225,7.825,0.5,0.5
2015-08-31,2015-09-06,1,green,7.025085000000001,-1,-1,-1,-1,-1,-1,false,false,true,true,7.525,7.325,0.5,0.5
2015-08-31,2015-09-06,1,yellow,7.1005650000000005,-1,-1,-1,-1,-1,-1,false,false,true,true,7.425,6.925,0.5,0.5
2015-09-07,2015-09-13,1,green,7.099665,-1,-1,-1,-1,-1,-1,false,false,true,true,7.425,7.125,0.5,0.5
2015-09-07,2015-09-13,1,red,7.757285,-1,-1,-1,-1,-1,-1,false,false,true,true,8.225,7.825,0.5,0.5
2015-09-07,2015-09-13,1,yellow,7.125425,-1,-1,-1,-1,-1,-1,false,false,true,true,7.425,7.025,0.5,0.5
2015-09-14,2015-09-20,1,yellow,7.224865,-1,-1,-1,-1,-1,-1,false,false,true,true,7.525,7.325,0.5,0.5
2015-09-14,2015-09-20,1,red,7.782145000000001,-1,-1,-1,-1,-1,-1,false,false,true,true,8.225,7.925,0.5,0.5
2015-09-14,2015-09-20,1,green,7.099665,-1,-1,-1,-1,-1,-1,false,false,true,true,7.525,7.325,0.5,0.5
2015-09-21,2015-09-27,1,green,7.299675000000001,-1,-1,-1,-1,-1,-1,false,false,true,true,7.525,7.225,0.5,0.5
2015-09-21,2015-09-27,1,yellow,7.375155,-1,-1,-1,-1,-1,-1,false,false,true,true,7.525,7.225,0.5,0.5
2015-09-21,2015-09-27,1,red,7.924525000000001,-1,-1,-1,-1,-1,-1,false,false,true,true,8.225,7.825,0.5,0.5
2015-09-28,2015-10-04,1,yellow,7.300575,-1,-1,-1,-1,-1,-1,false,false,true,false,7.625,7.225,0.5,0.5
2015-09-28,2015-10-04,1,red,7.8454250000000005,-1,-1,-1,-1,-1,-1,false,false,true,false,8.225,7.825,0.5,0.5
2015-09-28,2015-10-04,1,green,7.299675000000001,-1,-1,-1,-1,-1,-1,false,false,true,false,7.525,7.225,0.5,0.5
2015-10-05,2015-10-11,2,yellow,7.200005000000001,-1,-1,-1,-1,-1,-1,false,false,true,false,7.525,7.125,0.5,0.5
2015-10-05,2015-10-11,2,red,7.530155000000001,-1,-1,-1,-1,-1,-1,false,false,true,false,7.825,7.425,0.5,0.5
2015-10-05,2015-10-11,2,green,7.150515,-1,-1,-1,-1,-1,-1,false,false,true,false,7.425,7.025,0.5,0.5
2015-10-12,2015-10-18,2,red,7.074765,-1,-1,-1,-1,-1,-1,false,false,true,false,7.425,6.825,0.5,0.5
2015-10-12,2015-10-18,2,green,7.000225,-1,-1,-1,-1,-1,-1,false,false,true,false,7.225,6.825,0.5,0.5
2015-10-12,2015-10-18,2,yellow,6.999995,-1,-1,-1,-1,-1,-1,false,false,true,false,7.225,6.625,0.5,0.5
2015-10-19,2015-10-25,2,yellow,6.900555000000001,-1,-1,-1,-1,-1,-1,false,false,true,false,7.125,6.725,0.5,0.5
2015-10-19,2015-10-25,2,red,6.9504649999999994,-1,-1,-1,-1,-1,-1,false,false,true,false,7.225,6.825,0.5,0.5
2015-10-19,2015-10-25,2,green,6.874795000000001,-1,-1,-1,-1,-1,-1,false,false,true,false,7.125,6.825,0.5,0.5
2015-10-26,2015-11-01,2,yellow,6.900555000000001,-1,-1,-1,-1,-1,-1,false,false,false,false,7.225,6.725,0.5,0.5
2015-10-26,2015-11-01,2,red,6.9504649999999994,-1,-1,-1,-1,-1,-1,false,false,false,false,7.225,6.825,0.5,0.5
2015-10-26,2015-11-01,2,green,6.874795000000001,-1,-1,-1,-1,-1,-1,false,false,false,false,7.025,6.425,0.5,0.5
2015-11-02,2015-11-08,2,green,6.874795000000001,-1,-1,-1,-1,-1,-1,false,false,false,false,7.025,6.725,0.5,0.5
2015-11-02,2015-11-08,2,red,7.249915,-1,-1,-1,-1,-1,-1,false,false,false,false,7.425,7.225,0.5,0.5
2015-11-02,2015-11-08,2,yellow,7.349165,-1,-1,-1,-1,-1,-1,false,false,false,false,7.625,7.325,0.5,0.5
2015-11-09,2015-11-15,2,yellow,7.349165,-1,-1,-1,-1,-1,-1,false,false,false,false,7.525,7.325,0.5,0.5
2015-11-09,2015-11-15,2,red,7.249915,-1,-1,-1,-1,-1,-1,false,false,false,false,7.425,7.225,0.5,0.5
2015-11-09,2015-11-15,2,green,6.874795000000001,-1,-1,-1,-1,-1,-1,false,false,false,false,7.025,6.625,0.5,0.5
2015-11-16,2015-11-22,2,green,6.800215,-1,-1,-1,-1,-1,-1,false,false,false,false,6.925,6.525,0.5,0.5
